Question String,Pronoun,Split1,Split2,Option1,Option2
The bee landed on the flower because it had pollen.,it,The bee landed on the flower because,it had pollen.,The bee,the flower
The bee landed on the flower because it wanted pollen.,it,The bee landed on the flower because,it wanted pollen.,The bee,the flower
"When Debbie splashed Tina, she got in trouble.",she,"When Debbie splashed Tina,",she got in trouble.,Debbie,Tina
"When Debbie splashed Tina, she got wet.",she,"When Debbie splashed Tina,",she got wet.,Debbie,Tina
The bus driver yelled at a kid after she drove her vehicle.,she,The bus driver yelled at a kid after,she drove her vehicle.,The bus driver,a kid
The bus driver yelled at a kid after she broke a window.,she,The bus driver yelled at a kid after,she broke a window.,The bus driver,a kid
Jimbo was running from Bobbert because he smelled awful.,he,Jimbo was running from Bobbert because,he smelled awful.,Jimbo,Bobbert
Jimbo was running from Bobbert because he wanted to get to the car first.,he,Jimbo was running from Bobbert because,he wanted to get to the car first.,Jimbo,Bobbert
Jimbo attacked Bobbert because he stole an elephant from the zoo.,he,Jimbo attacked Bobbert because,he stole an elephant from the zoo.,Jimbo,Bobbert
Jimbo attacked Bobbert because he could not control his rage.,he,Jimbo attacked Bobbert because,he could not control his rage.,Jimbo,Bobbert
Jimbo was afraid of Bobbert because she gets scared around new people.,she,Jimbo was afraid of Bobbert because,she gets scared around new people.,Jimbo,Bobbert
Jimbo was afraid of Bobbert because she was running around with a bloody spear.,she,Jimbo was afraid of Bobbert because,she was running around with a bloody spear.,Jimbo,Bobbert
The man stole the neighbor's bike because he needed one.,he,The man stole the neighbor's bike because,he needed one.,The man,the neighbor
The man stole the neighbor's bike because he had one extra.,he,The man stole the neighbor's bike because,he had one extra.,The man,the neighbor
The bird ate the pie and it died.,it,The bird ate the pie and,it died.,The bird,the pie
The bird ate the pie and it was ruined.,it,The bird ate the pie and,it was ruined.,The bird,the pie
The bird perched on the limb and it bent.,it,The bird perched on the limb and,it bent.,The bird,the limb
The bird perched on the limb and it sang.,it,The bird perched on the limb and,it sang.,The bird,the limb
Mary cleaned Susan's room and she was thankful.,she,Mary cleaned Susan's room and,she was thankful.,Mary,Susan
Mary cleaned Susan's room and she asked a favor.,she,Mary cleaned Susan's room and,she asked a favor.,Mary,Susan
"Mary stabbed Jennifer, so John took her to the hospital.",her,"Mary stabbed Jennifer, so John took",her to the hospital.,Mary,Jennifer
"Mary stabbed Jennifer, so John reported her to the police.",her,"Mary stabbed Jennifer, so John reported",her to the police.,Mary,Jennifer
Lions eat zebras because they are predators.,they,Lions eat zebras because,they are predators.,Lions,zebras
Lions eat zebras because they are meaty.,they,Lions eat zebras because,they are meaty.,Lions,zebras
The coach criticized the player because he did not adhere to the team's formation.,he,The coach criticized the player because,he did not adhere to the team's formation.,The coach,the player
The coach criticized the player because he explicitly told everyone not to break the team's formation.,he,The coach criticized the player because,he explicitly told everyone not to break the team's formation.,The coach,the player
The academic clubs lost their members because they were poorly funded.,they,The academic clubs lost their members because,they were poorly funded.,The academic clubs,their members
The academic clubs lost their members because they did not have free time.,they,The academic clubs lost their members because,they did not have free time.,The academic clubs,their members
"James asked Robert for a favor, but he refused.",he,"James asked Robert for a favor, but",he refused.,James,Robert
"James asked Robert for a favor, but he was refused.",he,"James asked Robert for a favor, but",he was refused.,James,Robert
The teacher did not recommend William because he was not a good student.,he,The teacher did not recommend William because,he was not a good student.,The teacher,William
The teacher did not recommend William because he had high standards.,he,The teacher did not recommend William because,he had high standards.,The teacher,William
The doctor told Susan that she had cancer.,she,The doctor told Susan that,she had cancer.,The doctor,Susan
The doctor told Susan that she had been busy.,she,The doctor told Susan that,she had been busy.,The doctor,Susan
The professor grading the student's paper said that he was stupid.,he,The professor grading the student's paper said that,he was stupid.,The professor,the student
The professor grading the student's paper said that he loved it.,he,The professor grading the student's paper said that,he loved it.,The professor,the student
Jeremy annoyed Justin so he can leave the room.,he,Jeremy annoyed Justin so,he can leave the room.,Jeremy,Justin
Jeremy annoyed Justin so he can have the room.,he,Jeremy annoyed Justin so,he can have the room.,Jeremy,Justin
Paula liked Ness more than Pokey because he was nice to her.,he,Paula liked Ness more than Pokey because,he was nice to her.,Ness,Pokey
Paula liked Ness more than Pokey because he was mean to her.,he,Paula liked Ness more than Pokey because,he was mean to her.,Ness,Pokey
Rocky lost to Clubber Lang because he was not ready for the fight.,he,Rocky lost to Clubber Lang because,he was not ready for the fight.,Rocky,Clubber Lang
Rocky lost to Clubber Lang because he was ready for the fight.,he,Rocky lost to Clubber Lang because,he was ready for the fight.,Rocky,Clubber Lang
Aaron kissed Dan because he wanted to.,he,Aaron kissed Dan because,he wanted to.,Aaron,Dan
Aaron kissed Dan because he wanted him to.,he,Aaron kissed Dan because,he wanted him to.,Aaron,Dan
The students fell asleep during the professor's lectures because they were boring.,they,The students fell asleep during the professor's lectures because,they were boring.,The students,the professor's lectures
The students fell asleep during the professor's lectures because they were bored.,they,The students fell asleep during the professor's lectures because,they were bored.,The students,the professor's lectures
Derrick begged his boss for a raise but he did not get one.,he,Derrick begged his boss for a raise but,he did not get one.,Derrick,his boss
Derrick begged his boss for a raise but he did not give one.,he,Derrick begged his boss for a raise but,he did not give one.,Derrick,his boss
"The jurors deliberated on the defendants' fate for hours, but they did not reach a verdict.",they,"The jurors deliberated on the defendants' fate for hours, but",they did not reach a verdict.,The jurors,the defendants
"The jurors deliberated on the defendants' fate for hours, but they didn't receive the death penalty.",they,"The jurors deliberated on the defendants' fate for hours, but",they didn't receive the death penalty.,The jurors,the defendants
The orchestra was booed by the audience because they had performed poorly.,they,The orchestra was booed by the audience because,they had performed poorly.,The orchestra,the audience
