Knowledge Base,Question,Option 1,Option 2,Actual Answer,Bit Representation,Opt1,Opt2,Opt1Gender,Opt2Gender
city councilmen refused demonstrators a permit because they feared violence. ,what does they refer to? ,they refers to city councilmen ,they refers to demonstrators ,city councilmen ,0 ,city councilmen ,demonstrators ,1 ,1 
city councilmen refused demonstrators a permit because they feared violence. ,what feared violence? ,city councilmen feared violence ,demonstrators feared violence ,city councilmen ,0 ,city councilmen ,demonstrators ,1 ,1 
city councilmen refused demonstrators a permit because they advocated violence. ,what does they refer to? ,they refers to city councilmen ,they refers to demonstrators ,demonstrators ,1 ,city councilmen ,demonstrators ,1 ,1 
city councilmen refused demonstrators a permit because they advocated violence. ,what advocated violence? ,city councilmen advocated violence ,demonstrators advocated violence ,demonstrators ,1 ,city councilmen ,demonstrators ,1 ,1 
trophy doesn't fit into brown suitcase because it is too large. ,what does it refer to? ,it refers to trophy ,it refers to suitcase ,trophy ,0 ,trophy ,suitcase ,1 ,1 
trophy doesn't fit into brown suitcase because it is too large. ,what is too large? ,trophy is too large ,suitcase is too large ,trophy ,0 ,trophy ,suitcase ,1 ,1 
trophy doesn't fit into brown suitcase because it is too small. ,what does it refer to? ,it refers to trophy ,it refers to suitcase ,suitcase ,1 ,trophy ,suitcase ,1 ,1 
trophy doesn't fit into brown suitcase because it is too small. ,what is too small? ,trophy is too small ,suitcase is too small ,suitcase ,1 ,trophy ,suitcase ,1 ,1 
joan made sure to thank susan for all help she had received. ,what does she refer to? ,she refers to joan ,she refers to susan ,joan ,0 ,joan ,susan ,1 ,1 
joan made sure to thank susan for all help she had received. ,what had received? ,joan had received ,susan had received ,joan ,0 ,joan ,susan ,1 ,1 
joan made sure to thank susan for all help she had given. ,what does she refer to? ,she refers to joan ,she refers to susan ,susan ,1 ,joan ,susan ,1 ,1 
joan made sure to thank susan for all help she had given. ,what had given? ,joan had given ,susan had given ,susan ,1 ,joan ,susan ,1 ,1 
"paul tried to call george on phone, but he wasn't successful. ",what does he refer to? ,he refers to paul ,he refers to george ,paul ,0 ,paul ,george ,0 ,1 
