Knowledge Base,Question,Option 1,Option 2,Actual Answer,Bit Representation,Opt1GenderFeature,Opt2GenderFeature
bee landed on flower because it had pollen. ,what does it refer to? ,it refers to bee ,it refers to flower ,flower ,1 ,bee ,flower ,1 ,1 
bee landed on flower because it had pollen. ,what had pollen? ,bee had pollen ,flower had pollen ,flower ,1 ,bee ,flower ,1 ,1 
bee landed on flower because it wanted pollen. ,what does it refer to? ,it refers to bee ,it refers to flower ,bee ,0 ,bee ,flower ,1 ,1 
bee landed on flower because it wanted pollen. ,what wanted pollen? ,bee wanted pollen ,flower wanted pollen ,bee ,0 ,bee ,flower ,1 ,1 
"when debbie splashed tina, she got in trouble. ",what does she refer to? ,she refers to debbie ,she refers to tina ,debbie ,0 ,debbie ,tina ,1 ,1 
"when debbie splashed tina, she got in trouble. ",what got in trouble? ,debbie got in trouble ,tina got in trouble ,debbie ,0 ,debbie ,tina ,1 ,1 
"when debbie splashed tina, she got wet. ",what does she refer to? ,she refers to debbie ,she refers to tina ,tina ,1 ,debbie ,tina ,1 ,1 
"when debbie splashed tina, she got wet. ",what got wet? ,debbie got wet ,tina got wet ,tina ,1 ,debbie ,tina ,1 ,1 
bus driver yelled at a kid after she drove her vehicle. ,what does she refer to? ,she refers to bus driver ,she refers to a kid ,bus driver ,0 ,bus driver ,a kid ,1 ,1 
bus driver yelled at a kid after she drove her vehicle. ,what drove her vehicle? ,bus driver drove her vehicle ,a kid drove her vehicle ,bus driver ,0 ,bus driver ,a kid ,1 ,1 
bus driver yelled at a kid after she broke a window. ,what does she refer to? ,she refers to bus driver ,she refers to a kid ,a kid ,1 ,bus driver ,a kid ,1 ,1 
bus driver yelled at a kid after she broke a window. ,what broke a window? ,bus driver broke a window ,a kid broke a window ,a kid ,1 ,bus driver ,a kid ,1 ,1 
jimbo was running from bobbert because he smelled awful. ,what does he refer to? ,he refers to jimbo ,he refers to bobbert ,bobbert ,1 ,jimbo ,bobbert ,0 ,1 
jimbo was running from bobbert because he smelled awful. ,what smelled awful? ,jimbo smelled awful ,bobbert smelled awful ,bobbert ,1 ,jimbo ,bobbert ,0 ,1 
jimbo was running from bobbert because he wanted to get to car first. ,what does he refer to? ,he refers to jimbo ,he refers to bobbert ,jimbo ,0 ,jimbo ,bobbert ,0 ,1 
jimbo was running from bobbert because he wanted to get to car first. ,what wanted to get to car first? ,jimbo wanted to get to car first ,bobbert wanted to get to car first ,jimbo ,0 ,jimbo ,bobbert ,0 ,1 
jimbo attacked bobbert because he stole an elephant from zoo. ,what does he refer to? ,he refers to jimbo ,he refers to bobbert ,bobbert ,1 ,jimbo ,bobbert ,0 ,1 
jimbo attacked bobbert because he stole an elephant from zoo. ,what stole an elephant from zoo? ,jimbo stole an elephant from zoo ,bobbert stole an elephant from zoo ,bobbert ,1 ,jimbo ,bobbert ,0 ,1 
jimbo attacked bobbert because he could not control his rage. ,what does he refer to? ,he refers to jimbo ,he refers to bobbert ,jimbo ,0 ,jimbo ,bobbert ,0 ,1 
jimbo attacked bobbert because he could not control his rage. ,what could not control his rage? ,jimbo could not control his rage ,bobbert could not control his rage ,jimbo ,0 ,jimbo ,bobbert ,0 ,1 
jimbo was afraid of bobbert because she gets scared around new people. ,what does she refer to? ,she refers to jimbo ,she refers to bobbert ,jimbo ,0 ,jimbo ,bobbert ,0 ,1 
jimbo was afraid of bobbert because she gets scared around new people. ,what gets scared around new people? ,jimbo gets scared around new people ,bobbert gets scared around new people ,jimbo ,0 ,jimbo ,bobbert ,0 ,1 
jimbo was afraid of bobbert because she was running around with a bloody spear. ,what does she refer to? ,she refers to jimbo ,she refers to bobbert ,bobbert ,1 ,jimbo ,bobbert ,0 ,1 
