Question String,Pronoun,Split1,Split2,Option1,Option2
The city councilmen refused the demonstrators a permit because they feared violence.,they feared violence,The city councilmen refused the demonstrators a permit because,they feared violence.,The city councilmen,The demonstrators
The city councilmen refused the demonstrators a permit because they advocated violence.,they advocated violence,The city councilmen refused the demonstrators a permit because,they advocated violence.,The city councilmen,The demonstrators
The trophy doesn't fit into the brown suitcase because it is too large.,it is too large,The trophy doesn't fit into the brown suitcase because,it is too large.,the trophy,the suitcase
The trophy doesn't fit into the brown suitcase because it is too small.,it is too small,The trophy doesn't fit into the brown suitcase because,it is too small.,the trophy,the suitcase
Joan made sure to thank Susan for all the help she had received.,she had received,Joan made sure to thank Susan for all the help,she had received.,Joan,Susan
Joan made sure to thank Susan for all the help she had given.,she had given,Joan made sure to thank Susan for all the help,she had given.,Joan,Susan
"Paul tried to call George on the phone, but he wasn't successful.",he wasn't successful.,"Paul tried to call George on the phone, but",he wasn't successful.,Paul,George
"Paul tried to call George on the phone, but he wasn't available.",he wasn't available.,"Paul tried to call George on the phone, but",he wasn't available.,Paul,George
"The lawyer asked the witness a question, but he was reluctant to repeat it.",he was reluctant,"The lawyer asked the witness a question, but",he was reluctant to repeat it.,the lawyer,the witness
"The lawyer asked the witness a question, but he was reluctant to answer it.",he was reluctant,"The lawyer asked the witness a question, but",he was reluctant to answer it.,the lawyer,the witness
The delivery truck zoomed by the school bus because it was going so fast.,it was going so fast.,The delivery truck zoomed by the school bus because,it was going so fast.,the delivery truck,the school bus
The delivery truck zoomed by the school bus because it was going so slow.,it was going so slow.,The delivery truck zoomed by the school bus because,it was going so slow.,the delivery truck,the school bus
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,he was the winner,Frank felt vindicated when his longtime rival Bill revealed that,he was the winner of the competition.,Frank,Bill
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,he was the winner,Frank felt crushed when his longtime rival Bill revealed that,he was the winner of the competition.,Frank,Bill
The man couldn't lift his son because he was so weak.,he was so weak.,The man couldn't lift his son because,he was so weak.,The man,The son
The man couldn't lift his son because he was so heavy.,he was so heavy.,The man couldn't lift his son because,he was so heavy.,The man,The son
The large ball crashed right through the table because it was made of steel.,it was made of steel.,The large ball crashed right through the table because,it was made of steel.,The large ball,The table
The large ball crashed right through the table because it was made of styrofoam.,it was made of styrofoam.,The large ball crashed right through the table because,it was made of styrofoam.,The large ball,The table
John couldn't see the stage with Billy in front of him because he is so short.,he is so short.,John couldn't see the stage with Billy in front of him because,he is so short.,John,Billy
John couldn't see the stage with Billy in front of him because he is so tall.,he is so tall.,John couldn't see the stage with Billy in front of him because,he is so tall.,John,Billy
Tom threw his schoolbag down to Ray after he reached the top of the stairs.,he reached the top of the stairs.,Tom threw his schoolbag down to Ray after,he reached the top of the stairs.,Tom,Ray
Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,he reached the bottom of the stairs.,Tom threw his schoolbag down to Ray after,he reached the bottom of the stairs.,Tom,Ray
"Although they ran at about the same speed, Sue beat Sally because she had such a good start.",she had such a good start.,"Although they ran at about the same speed, Sue beat Sally because",she had such a good start.,Sue,Sally
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.",she had such a bad start.,"Although they ran at about the same speed, Sue beat Sally because",she had such a bad start.,Sue,Sally
The sculpture rolled off the shelf because it wasn't anchored.,it wasn't anchored.,The sculpture rolled off the shelf because,it wasn't anchored.,The sculpture,The shelf
The sculpture rolled off the shelf because it wasn't level.,it wasn't level.,The sculpture rolled off the shelf because,it wasn't level.,The sculpture,The shelf
Sam's drawing was hung just above Tina's and it did look much better with another one below it.,it did look much better,Sam's drawing was hung just above Tina's and,it did look much better with another one below it.,Sam's drawing,Tina's drawing
Sam's drawing was hung just above Tina's and it did look much better with another one above it.,it did look much better,Sam's drawing was hung just above Tina's and,it did look much better with another one above it.,Sam's drawing,Tina's drawing
Anna did a lot better than her good friend Lucy on the test because she had studied so hard.,she had studied so hard.,Anna did a lot better than her good friend Lucy on the test because,she had studied so hard.,Anna,Lucy
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,she had studied so hard.,Anna did a lot worse than her good friend Lucy on the test because,she had studied so hard.,Anna,Lucy
The firemen arrived after the police because they were coming from so far away.,they were coming from so far away.,The firemen arrived after the police because,they were coming from so far away.,The firemen,The police
The firemen arrived before the police because they were coming from so far away.,they were coming from so far away.,The firemen arrived before the police because,they were coming from so far away.,The firemen,The police
Frank was upset with Tom because the toaster he had bought from him didn't work.,he had bought,Frank was upset with Tom because the toaster,he had bought from him didn't work.,Frank,Tom
Frank was upset with Tom because the toaster he had sold him didn't work.,he had sold,Frank was upset with Tom because the toaster,he had sold him didn't work.,Frank,Tom
Jim yelled at Kevin because he was so upset.,he was so upset.,Jim yelled at Kevin because,he was so upset.,Jim,Kevin
Jim comforted Kevin because he was so upset.,he was so upset.,Jim comforted Kevin because,he was so upset.,Jim,Kevin
"The sack of potatoes had been placed above the bag of flour, so it had to be moved first.",it had to be moved first.,"The sack of potatoes had been placed above the bag of flour, so",it had to be moved first.,The sack of potatoes,The bag of flour
"The sack of potatoes had been placed below the bag of flour, so it had to be moved first.",it had to be moved first.,"The sack of potatoes had been placed below the bag of flour, so",it had to be moved first.,The sack of potatoes,The bag of flour
Pete envies Martin although he is very successful.,he is very successful.,Pete envies Martin although,he is very successful.,Pete,Martin
Pete envies Martin because he is very successful.,he is very successful.,Pete envies Martin because,he is very successful.,Pete,Martin
"The older students were bullying the younger ones, so we punished them.",we punished them,"The older students were bullying the younger ones, so",we punished them.,The older students,The younger students
"The older students were bullying the younger ones, so we rescued them.",we rescued them,"The older students were bullying the younger ones, so",we rescued them.,The older students,The younger students
I poured water from the bottle into the cup until it was empty.,it was empty,I poured water from the bottle into the cup until,it was empty.,the bottle,the cup
I poured water from the bottle into the cup until it was full.,it was full,I poured water from the bottle into the cup until,it was full.,the bottle,the cup
Susan knows all about Ann's personal problems because she is nosy.,she is nosy,Susan knows all about Ann's personal problems because,she is nosy.,Susan,Ann
Susan knows all about Ann's personal problems because she is indiscreet.,she is indiscreet,Susan knows all about Ann's personal problems because,she is indiscreet.,Susan,Ann
Sid explained his theory to Mark but he couldn't convince him.,he couldn't convince him.,Sid explained his theory to Mark but,he couldn't convince him.,Sid,Mark
Sid explained his theory to Mark but he couldn't understand him.,he couldn't understand him.,Sid explained his theory to Mark but,he couldn't understand him.,Sid,Mark
"Susan knew that Ann's son had been in a car accident, so she told her about it.",she told,"Susan knew that Ann's son had been in a car accident, so",she told her about it.,Susan,Ann
"Susan knew that Ann's son had been in a car accident, because she told her about it.",she told,"Susan knew that Ann's son had been in a car accident, because",she told her about it.,Susan,Ann
"Joe's uncle can still beat him at tennis, even though he is 30 years younger.",he is 30 years younger.,"Joe's uncle can still beat him at tennis, even though",he is 30 years younger.,Joe,Joe's uncle
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",he is 30 years older.,"Joe's uncle can still beat him at tennis, even though",he is 30 years older.,Joe,Joe's uncle
The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.,It is to the right,The painting in Mark's living room shows an oak tree.,It is to the right of the bookcase.,The painting,The oak tree
The painting in Mark's living room shows an oak tree. It is to the right of a house.,It is to the right,The painting in Mark's living room shows an oak tree.,It is to the right of a house.,The painting,The oak tree
There is a gap in the wall. You can see the garden through it.,through it,There is a gap in the wall. You can see the garden,through it.,The gap,The wall
There is a gap in the wall. You can see the garden behind it.,behind it,There is a gap in the wall. You can see the garden,behind it.,The gap,The wall
The drain is clogged with hair. It has to be cleaned.,It has to be cleaned.,The drain is clogged with hair.,It has to be cleaned.,The drain,The hair
The drain is clogged with hair. It has to be removed.,It has to be removed.,The drain is clogged with hair.,It has to be removed.,The drain,The hair
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was short, so it worked out.",it was short,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily,","it was short, so it worked out.",The meeting,The train
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed, so it worked out.",it was delayed,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily,","it was delayed, so it worked out.",The meeting,The train
"There is a pillar between me and the stage, and I can't see around it.",see around it,"There is a pillar between me and the stage, and I can't",see around it.,The pillar,The stage
"There is a pillar between me and the stage, and I can't see it.",see it,"There is a pillar between me and the stage, and I can't",see it.,The pillar,The stage
"They broadcast an announcement, but a subway came into the station and I couldn't hear it.",hear it,"They broadcast an announcement, but a subway came into the station and I couldn't",hear it.,The announcement,The subway
"They broadcast an announcement, but a subway came into the station and I couldn't hear over it.",hear over it,"They broadcast an announcement, but a subway came into the station and I couldn't",hear over it.,The announcement,The subway
"In the middle of the outdoor concert, the rain started falling, but it continued until 10.",it continued,"In the middle of the outdoor concert, the rain started falling, but",it continued until 10.,The concert,The rain
"In the middle of the outdoor concert, the rain started falling, and it continued until 10.",it continued,"In the middle of the outdoor concert, the rain started falling, and",it continued until 10.,The concert,The rain
"I used an old rag to clean the knife, and then I put it in the trash.",put it in the trash.,"I used an old rag to clean the knife, and then I",put it in the trash.,The rag,The knife
"I used an old rag to clean the knife, and then I put it in the drawer.",put it in the drawer.,"I used an old rag to clean the knife, and then I",put it in the drawer.,The rag,The knife
"Ann asked Mary what time the library closes, because she had forgotten.",she had forgotten.,"Ann asked Mary what time the library closes, because",she had forgotten.,Ann,Mary
"Ann asked Mary what time the library closes, but she had forgotten.",she had forgotten.,"Ann asked Mary what time the library closes, but",she had forgotten.,Ann,Mary
I took the water bottle out of the backpack so that it would be handy.,it would be handy,I took the water bottle out of the backpack so that,it would be handy.,The water bottle,The backpack
I took the water bottle out of the backpack so that it would be lighter.,it would be lighter,I took the water bottle out of the backpack so that,it would be lighter.,The water bottle,The backpack
I couldn't put the pot on the shelf because it was too tall.,it was too tall.,I couldn't put the pot on the shelf because,it was too tall.,The pot,The shelf
I couldn't put the pot on the shelf because it was too high.,it was too high.,I couldn't put the pot on the shelf because,it was too high.,The pot,The shelf
I'm sure that my map will show this building; it is very good.,it is very good,I'm sure that my map will show this building;,it is very good.,The map,The building
I'm sure that my map will show this building; it is very famous.,it is very famous,I'm sure that my map will show this building;,it is very famous.,The map,The building
Bob paid for Charlie's college education. He is very generous.,He is very generous.,Bob paid for Charlie's college education.,He is very generous.,Bob,Charlie
Bob paid for Charlie's college education. He is very grateful.,He is very grateful.,Bob paid for Charlie's college education.,He is very grateful.,Bob,Charlie
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.",He is very hurt.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.",He is very hurt.,Bob,Charlie
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.",He is very ungrateful.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.",He is very ungrateful.,Bob,Charlie
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",he would have won.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,",he would have won.,Bob,Adam
